No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
231,Soto Ayam Jogja,soto ayam,"Resep dari mamah mertua yang jadi andalan tiap ada acara di rumahnya, dengan rempah ""krangean"" rahasianyaa.","500 gr ayam | 2 liter air | 2 sdt garam | 1 sdt kaldu ayam / kaldu jamur | Bumbu halus: | 8 siung bawang putih | 2 butir kemiri | 1/2 sdt lada bubuk | 1/2 sdt ketumbar | sedikit kunyit | Aromatik: | 3 lembar daun jeruk | 3 lembar daun salam | 1 batang sereh , geprek | 1 ruas jahe , geprek | 2 cm kayu manis | 2 cm kayu krangean | 4 pcs cengkeh | 3 pcs kapulaga | Pelengkap: | 1/4 buah kol , iris rebus | 1 bungkus soun , rendam air panas 5 menit, lalu bilas dengan air biasa | 2 batang seledri , iris | Secukupnya bawang goreng | 8 buah cabai rawit , rebus",25,"Siapkan bahan yang dibutuhkan. || Ulek bumbu halus, geprek jahe dan sereh. || Tumis bumbu halus hingga wangi, masukkan bumbu aromatik, tumis hingga kering, lalu masukkan ayam, aduk rata. || Tambahkan air, masukkan garam dan kaldu jamur, masak selama 30 menit hingga ayam empuk. || Sambil menunggu ayam matang, siapkan bahan pelengkap. Rendam soun dengan air panas, diamkan selama 5 menit, lalu tiriskan dan bilas dengan air biasa. || Iris iris kol, cuci bersih, didihkan air lalu rebus selama 5 menit. (Jika suka kol mentah kriuk kriuk, kol tidak perlu direbus, nanti hanya disiram dengan kuah soto yang panas saat penyajian). Untuk pelengkap bisa juga ditambahkan toge. || Untuk sambal soto, rebus cabai rawit sampai layu, lalu ulek kasar dan beri sedikit air rebusan cabai. || Jika ayam sudah matang, keluarkan ayam dari kuah soto, lalu suir suir ayam dan masukkan kembali ke dalam kuah soto. (Bisa juga ayam digoreng lebih dulu sebelum disuir dan disajikan bersama dengan pelengkap). || Test rasa kuah soto, jika dirasa sudah pas, matikan api lalu taburkan bawang goreng dan seledri. || Untuk menghidangkannya, siapkan mangkuk, masukkan kol, soun, bawang goreng, seledri, dan sambal, lalu siram dengan kuah soto. Tambahkan pula kerupuk agar lebih lengkap. Soto ayam jogja dengan kuah yang segerr siap disantap 😋",10,5 menit,,Resep Approved,Depok,https://cookpad.com/id/resep/25420038
232,Soto Ayam Lamongan,soto ayam,"Soto Ayam Lamongan rasanya yg khas ,jadi favorite ,aroma wangi sere daun jeruk dan rasanya yg gurih dari taburan koya dari krupuk udang.",300 g Daging ayam (bagian dada /paha campur tulang ) | 4 siung Bawang merah | 3 siung Bawang putih | 2 butir Kemiri yang sudah di goreng | 2 cm Kunyit segar | 1 batang Serai | 3 lembar Daun jeruk | 1 batang Daun bawang | 1/2 sdt Merica bubuk | 1 sdt Ketumbar | 1 sdt Garam | 800 ml Air | 2 sdm Minyak goreng,13,"Haluskan bawang merah, bawang putih, kemiri, kunyit, dan ketumbar || Tumis bumbu halus dengan minyak, masukkan serai dan daun jeruk hingga harum. || Masukkan ayam, aduk rata, lalu tuang air. Masak hingga ayam empuk. || Angkat ayam, suwir-suwir dagingnya, lalu masukkan kembali ke kuah. || Tambahkan garam, lada halus dan daun bawang, koreksi rasa. || Sajikan soto dengan kol, soun, suwiran ayam, telur rebus, bawang goreng, koya, dan jeruk nipis.",6,30 menit,2 porsi,Madu Retno,Malang,https://cookpad.com/id/resep/25411312
233,Soto Ayam Lamongan,soto ayam,"Paksu kurang suka tumis/bening sayur, jadi soto adalah salah satu hack menu lengkap sayuran plus protein. Ini soto lamongan versi tanpa koya.","1/2 ekor ayam , potong sop cuci bersih | 2 batang daun bawang | 1 sdm garam | 1/2 sdt lada | 1/2 sdt gula | 1 sdt penyedap | 1 sdt kaldu ayam | 2 liter air | Bumbu halus : | 6 siung bawang putih | 8 siung bawang merah | 6 buah kemiri | 2 ruas kunyit (bakar) | Secukupnya minyak goreng | Aromatic : | 2 batang sereh | 6 lembar daun jeruk | 6 lembar daun salam | Pelengkap : | 1/4 buah Kol , iris, rebus | 1 bks soun , rendam air panas sampai empuk, lalu bilas air dingin | 2 btg seledri , iris | 1 buah jeruk nipis , potong 5 bagian | Secukupnya cabai rawit , rebus",24,"Blender bumbu halus dengan sedikit minyak, lalu panaskan wajan dan tumis bumbu halus sampai minyak keluar. || Masukkan sereh, daun salam, dan daun jeruk, masak sampai agak kering, lalu masukkan ayam dan daun bawang, aduk rata. || Tambahkan air, rebus dengan api besar selama 40 menit (sampai ayam empuk), lalu tambahkan garam, lada, gula, penyedap, dan kaldu ayam. Tambahkan air jika kuah soto menyusut. || Di dalam mangkuk, sajikan soto dengan kol, soun, seledri dan cabai rawit, siram dengan kuah soto lalu tambahkan jeruk nipis (bisa tambahkan kecap jika suka), soto siap disantap dengan nasi hangat dan tambahan kerupuk 😋",4,40 menit,,Resep Approved,Depok,https://cookpad.com/id/resep/25407854
234,Nasi Soto Ayam,soto ayam,"Kalau cuaca panas, paling mantap masak soto dirumah",300 g Nasi putih | 100 g Dada ayam rebus | 2 batang Daun bawang | 50 g Kol | 1 batang Seledri | 1 sdm Bawang putih goreng | 1 sdm Sambal | 400 ml Kuah soto ayam | 1/2 sdt Garam | 1/4 sdt Merica bubuk,10,"Siapkan nasi putih di mangkuk. || Tata ayam suwir, kol, daun bawang, dan seledri di atas nasi. || Siram dengan kuah soto ayam panas. || Taburi bawang putih goreng dan tambahkan sambal sesuai selera. || Sajikan hangat.",5,,2 porsi,Maya Puspita,Jombang jawatimur,https://cookpad.com/id/resep/25404847
235,Soto Ayam,soto ayam,"Halo siapa yang lagi bingung masak, kebetulan dikulkas ada ayam, ya akhirnya masak soto 🐔 pasti semua suka",300 g Ayam | 3 siung Bawang putih | 5 siung Bawang merah | 2 cm Kunyit | 2 cm Jahe | 2 butir Kemiri | 1 batang Serai | 2 lembar Daun salam | 2 lembar Daun jeruk | 1 sdt Garam | 1/2 sdt Merica bubuk | 800 ml Air | 200 ml Minyak goreng | 2 sdm Minyak | 1 batang Daun seledri (opsional) | 1 sdm Bawang goreng (opsional),16,"Haluskan bawang putih, bawang merah, kunyit, jahe, dan kemiri. || Tumis bumbu halus bersama serai, daun salam, dan daun jeruk hingga harum. || Masukkan ayam, aduk rata dengan bumbu, lalu tuang air. || Rebus ayam hingga matang, angkat ayamnya. || Goreng ayam hingga kecoklatan, lalu suwir-suwir. || Sisa air rebusan bumbu dijadikan kuah soto, bumbui dengan garam dan merica. || Sajikan ayam suwir dalam mangkuk, siram dengan kuah soto, tambahkan pelengkap sesuai selera.",7,,2 porsi,Maya Puspita,Jombang jawatimur,https://cookpad.com/id/resep/25404769
236,Soto Ayam Semarang,soto ayam,"#GenkPejuangDapur #GenkPeDa_Eksis #CookmemberPeDa5_Erlina #CookpadCommunity_KalSelBar #CookpadCommunity_Borneo Pagi² udara dingin pingin sarapan berkuah Alhamdulillah masih ada 1/2 ekor stok terakhir ayam pejantan muda,lgsg eksekusi masak buat menu pagi hari Inspirasi by...",1/2 ekor ayam pejantan bersihkan | 1 liter air | 1 barang daun bawang 1 batang seledri | 1 sdm garam | 1 sdt gula pasir | 1 lembar daun salam | 1 batang serai keprek | 3 lembar daun jeruk | Bumbu halus: | 6 butir bawang merah | 4 siung bawang putih | 2 butir kemiri sangrai | 1 sdt merica bubuk | 1 sdt kunyit bubuk (me seruas kunyit segar ) | 1 sdt jinten bubuk | 1 sdt ketumbar bubuk | 1/4 sdt ketumbar bubuk | Pelengkap: | 1 bungkus kecil soun rendam air panas | 1/4 buah kol iris tipis | 2 sdm bawang merah goreng | 2 genggam tauge | 1 buah jeruk nipis | 5 butir telur rebus (tambahan),24,Bersihkan ayam rebus bersama daun bawang dan daun seledri hingga ayam matang angkat biarkan hingga dingin lalu suwir² daging nya sisihkan || Panaskan minyak tumis bumbu halus hingga harum masukan kedalam panci air kaldu tambahkan daun salam serai dan daun jeruk || Masak hingga mendidih beri gula garam cek rasa matikan api siapkan irisan kol dan tauge dalam mangkok saji tata soun tauge irisan kol dan ayam suwir siram dengan kuah nya sajikan dengan taburan daun seledri dan bawang merah goreng,3,60 menit,4 porsi,Nindaummuzia,Banjarmasin,https://cookpad.com/id/resep/25399398
237,Soto Ayam Betawi,soto ayam,"Kuah kuning creamy gini tuh kalau hujan rasanya nagih 😭🍲 Soto Betawi ayam versi rumah, simple tapi niat. #masakmurah #masakenak",1/4 ekor ayam | 120 ml susu evaporasi | 50 ml susu full cream | Bumbu halus | 8 siung bawang merah | 6 siung bawang putih | 3 biji cabe keriting | 2 sdt kunyit bubuk | 1 sdt ketumbar bubuk | 2 sdt garam | 1 sdt gula | 1 sdt penyedap | 1/3 ruas lengkuas | Bumbu cemplung | 2 lembar daun salam | 3 lembar daun jeruk | 1 ruas sereh | 4 biji kapulaga | 2 biji cengkeh | 1/2 batang kayu manis | Topping | secukupnya Emping goreng (opsional) | secukupnya Bawang goreng (opsional),23,"Haluskan bumbu dan siapkan bumbu cemplung, kemudiang goreng sebentar hingga wangi || Cuci bersih ayam, rebus sampai setengah matang, kemudian masukkan bumbu halus dan bumbu cemplung yang sudah di gonso || Setelah bumbu meresap, masukkan susu evaporasi dan susu full cream, aduk dan koreksi rasa || Setelas dirasa cukup, soto betawi ayam siap disajikan dengan nasi dan taburi bawang goreng dan beri emping goreng",4,1 jam,,Dwi Endah,,https://cookpad.com/id/resep/25373898
238,Soto Ayam Homemade,soto ayam,"Udah lama banget gak bikin soto dengan bumbu sendiri, biasanya tinggal pakai yg instan instan aja. #CookpadCommunity_Yogyakarta #SelaluIstimewa #kopijos #InspirasiDapurRamadan #SiapRamadan #Kopijos_InspirasiDapurRamadan #Kopijos_Februari2026 #GAS2025","1/4 kg Ayam ( tulang , kulit, paha satu) | 1/2 bungkus desaku marinasi | Secukupnya garam | Secukupnya gula pasir | Sedikit penyedap rasa | Bumbu halus : | 3 siung bawang putih | 3 siung bawang merah | 1/2 Sdt merica bubuk | 1/2 Sdt ketumbar | 2 buah kemiri | 1/2 ruas jahe | 2 ruas kunyit (kecil) | Aromatik : | 1 lembar daun salam | 2 lembar daun jeruk | 1 batang sereh | Secukupnya daun bawang | Secukupnya daun selederi | 3 butir kapulaga | 1 buah kayu manis | Pelengkap : | Secukupnya bihun | Secukupnya kecambah (opsional) | 3 lembar kubis | 1 buah wortel | 1 buah jeruk nipis | Secukupnya bawang goreng | Secukupnya sambel",29,"Ayam cuci bersih, lalu marinasi dengan desaku marinasi, diamkan 15 menit lalu goreng dengan api yg sudah panas biar merata matangnya. || Didihkan air untuk merebus sayur dan bihun. || Haluskan bahan bumbu, lalu masak beserta aromatik hingga harum, lalu di beri air, tunggale hingga matang blubub"" sempurna. || Ayam sudah matang, sayur sudah matang, kuah sudah matang || Lalu sajikan, selamat menikmati bund...",5,15 menit,,Lutfiapril_,"Magelang, Jawa Tengah",https://cookpad.com/id/resep/25394891
239,Soto Betawi (Ayam & Susu),soto ayam,"Alhamdulillah ini adalah penutupan GAS 2025, tidak terasa sudah lebih 52 resep aku bagikan, walaupun aku banyak banget absennya 😆 Tapi seneng banget aku bisa ikut banyak challenge dari Cookpad, banyak banget ilmu baru yang aku dapat dari kelas bmbk, seneng...","300 g ayam | 1 buah Tomat (potong kecil- kecil) | 1 buah Kentang (potong dadu, goreng) | 1 sdm bawang goreng | 100 g emping goreng | 250 ml Susu cair | 600 ml Air kaldu | Bumbu haluskan | 3 siung Bawang merah | 6 siung Bawang putih | 3 cm Jahe | 3 cm Lengkuas | 2 buah Kemiri | 1/2 buah pala | 1/4 sdt jintan | 1/4 sdt Ketumbar | 1/4 sdt Merica | 1 sdt kaldu bubuk | 1/4 sdt gula pasir | 2 sdm Minyak goreng | Bumbu lain | 1 batang Serai (geprek) | 2 lembar Daun salam | 2 lembar Daun jeruk | 1 batang Daun bawang | 1 buah bunga lawang | 1 batang kayu manis | 3 buah cengkeh",28,"Siapkan semua bahan dan bumbu || Rebus ayam selama 5 menit, buang air rebusan pertama, lalu cuci bersih ayam di air mengalir, rebus lagi dengan 600 ml air hingga matang. Airnya ini untuk air kaldu. Tiriskan ayam lalu potong kecil kecil || Haluskan bumbu yang harus dihaluskan, tumis dengan bumbu lainnya, tumis sampai harum dan tanak || Tambahkan air kaldu dan susu cair, masukkan ayam || Cek rasa siap disajikan, sangat sedap sekali, rasanya kaya akan rempah, susunya tidak terasa. Sajikan soto betawi dengan irisan tomat, kentang goreng dan emping goreng. Pake sambal miri dan jeruk nipis 😋.",5,30 menit,8 porsi,Dian Amel,Malang,https://cookpad.com/id/resep/25339621
240,Soto Betawi Ayam,soto ayam,"Anak Gadis Request Soto betawi Tapi Pake Ayam.Karena.dia Gak Doyan Daging 😌 Tapi ini Juga enak koq Aku pakai Santan dan Susu Rasa kuah nya, enak Gurih Dan Harum karena Memakai Aneka Bumbu Rempah. Aroma nya udah bikin Laper #PenutupGas2025 #Cinte_PenutupGas2025 #Gas2025...",1 kilo g Ayam | 2 atau 3 Buah kentang goreng | 3 btg daun bawang | 3 sdm Bawang goreng | 3 Tomat | Bumbu halus | 9 Bamer | 5 Baput | 3 cm jahe | 2 cm kunyit | 1/2 sdt jintan sangrai | 1/2 sdt ketumbar sangrai | 1/2 sdt lada | 3 Butir kemiri | Bumbu Cemplung | 2 Sereh georek | 2 Cm laos geprek | 3 daun salam | 3 daun jeruk | 4 kapulaga | 7 butir cengkeh | 1 cm kayu manis | 1 sdt garam | 1 sdt kaldu bubuk | 3 liter Air | Santan instan | 1 saset susu dancow | Pelengkap | Sambal | Emping,30,Siapin bahan sangrai bumbu Rempah nya. Ayam di Cuci bersih. Potong potong Agak kecil lalu. Beri perasan jeruk nipis || Halus kan bumbu halus. Lalu tumis. Hingga harum Masukan air. Dan Bumbu Cemplung.Masukan potongan Ayam. Masak hingga Ayam empuk tambah susu dan santan || Setelah Di tambah santan beri kaldu bubuk dan garam sambil di aduk aduk cek rasa lalu angkat. || Sajikan dengan potongan kentang goreng tomat. Beri taburan bawang goreng daun bawang dan Sambal. Yummy,4,40 Menit,8 porsi,Dapoer Mama Anna Rohana,Meruya Utara Kembangan Jakbar,https://cookpad.com/id/resep/25378447
241,Soto Ayam Bumbu Kuning,soto ayam,"Paling suka makan soto yang bumbunya medhok dan kuahnya kuning. Trus makannya di kasih sambal yang banyak, tambahin perasan jeruk nipis makin mantap di jamin langsung keringetan walaupun cuaca lagi dingin. Sebenarnya aku sukanya makan soto tuh dikasih toge, tapi...","1/2 ekor ayam bagian dada dan sayap | 3 lembar daun salam | 3 lembar daun jeruk | 2 batang serai , memarkan | 1 ruas jari lengkuas | Secukupnya garam, kaldu bubuk dan gula pasir | 2 siung bawang putih goreng,, untuk kuah | Bumbu Halus : | 8 siung bawang merah | 5 siung bawang putih | 4 butir kemiri , sangrai | 1 sdm ketumbar butir, sangrai | 1 sdt merica bubuk | 1 ruas jari kunyit | 1 ruas jari jahe | Pelengkap : | Secukupnya Tomat , iris langsung di mangkuk saji | Secukupnya Telur Rebus | 1 bungkus Soun , seduh | Secukupnya Kol , rajang | Secukupnya Seledri , iris | Secukupnya daun bawangi , iris | Secukupnya Bawang Goreng | Secukupnya Sambal + jeruk",24,"Rebus ayam hingga mendidih dengan api besar, buang busa busa yang mengambang. Kecilkan api rebus terus daging ayam sampai kaldu keluar. || Tumis bumbu halus bersama daun jeruk, daun salam dan serai. Aduk hingga matang dan harum. Angkat || Masukkan bumbu ke dalam rebusan ayam. Rebus dengan api kecil hingga daging ayam lunak. Tambahkan garam, kaldu bubuk dan gula pasir. || Angkat potongan ayam, tiriskan hingga agak kering. Kemudian Goreng ayam sebentar hingga bagian luarnya kering. Tiriskan. || Biarkan kuah kaldu tetap di atas kompor. Masukkan sebagian irisan daun bawang dan bawang putih goreng (masukkan sambil di remas) || Suwir daging ayam kasar-kasar.Sisihkan. Seduh soun hingga lunak. Tiriskan || Masukkan dalam mangkuk saji Soun, irisan kol, ayam suwir, telur rebus dan irisan tomat. || Tuang kuah kaldu panas kedalam mangkuk saji. Beri taburan daun bawang, daun seledri dan bawang goreng. Sajikan dengan sambal rawit dan perasan jeruk nipis.Jika suka boleh tambahkan kecap dan krupuk.",8,90 Menit,,Yuliana.Menjoi,Kuaro. Kabupaten Paser. Kalimantan Timur,https://cookpad.com/id/resep/25376543
242,Soto Ayam Bening (Dg Koya) 🌹,soto ayam,"Alhamdulillah senang sekali setelah kemarin seru2an ngobrol dengan mbak Diana, kali ini jadi terinspirasi dengan salah satu resep mbak Diana yaitu soto ayam bening 🥰. Padahal biasanya kalau pengin menikmati soto, paling sering trus beli matang aja 😃...",1/2 kg ayam (sy ayam potong) | Bumbu halus: | 6 siung bawang merah | 3 siung bawang putih | 1/4 sdt kunyit bubuk | 1/2 sdt lada bubuk | 1/2 sdt ketumbar bubuk | Bumbu Cemplung: | 1 ruas laos digeprek | 2 cm jahe digeprek | 2 lb daun salam | 3 lb daun jeruk purut | 1 sdm kaldu jamur | secukupnya Gula dan garam | 1 batang sereh digeprek | Air | Pelengkap penyajian: | Bawang merah goreng | Telur rebus | Sambal | Koya | Seledri iris halus | Jeruk nipis | Kecap manis,24,"Siapkan semua bumbu. Ayam setelah dicuci bersih lalu rebus sebentar, buang airnya. Lalu panci isi lagi dg air yg baru dan rebus lagi ayam sekali mendidih. Matikan api kompor. Sisihkan || Tumis bumbu halus hingga harum lalu masukkan bumbu cemplung dan ambil sedikit air kaldu ayam, lalu tuang tumisan bumbu kedalam panci yg berisi rebusan ayam tadi. Masak hingga bumbu meresap dan ayam matang/ empuk. Tes rasa. Jika rasa sdh pas matikan api kompor. || Sambil memasak kuah soto, kita siapkan sambelnya, cabe direbus sebentar, tiriskan lalu haluskan dg diberi sedikit garam dan gula. Setelah halus, tata di wadah. Lanjut bikin koya, haluskan bawang putih goreng lalu kerupuk udang, campur hingga tercampur rata, lalu simpan di wadah/ toples. || Siapkan soto beserta pelengkap penyajian. Bawang merah goreng, seledri, jeruk nipis, kobis, telur rebus, sambal dan koya, ayam disuwir. || Soto bening dan koya siap menemani sarapan pagi ini 🥰🥰🥰",5,30 menit,5 porsi,Ibu Tina,Kediri,https://cookpad.com/id/resep/25377462
243,Soto Ayam Betawi,soto ayam,"""S"" untuk Soto. Sebelum kenal dengan Cookpad Saya hanya tahu resep soto ayam kuning rumahan tetapi setelah adanya Cookpad semakin banyak ilmu yang saya dapatkan terlebih lagi dengan adanya event seperti GAS ini. sehingga saya bisa membuat soto Betawi sendiri dan keluarga...","500 gram ayam | 3 sdm susu bubuk full cream | 1 bungkus santan instan | secukupnya Garam | secukupnya Kaldu bubuk | secukupnya Gula pasir | 1500 ml air | secukupnya Minyak goreng | Bumbu halus : | 4 siung bawang putih | 5 siung bawang merah | 3 butir kemiri | 2 ruas jahe | 1 sdm ketumbar | 1 sdt jinten | 1 sdt lada halus | Bumbu aromatik : | 5 lembar daun jeruk | 5 lembar daun salam | 1 batang kayu manis ukuran besar | 2 buah bunga lawang | 4 buah cengkeh | 1 batang serai , geprek | Bahan pelengkap : | Irisan tomat secukupnya | secukupnya Sambal | secukupnya Emping",27,"Siapkan bumbu halus, setelah di haluskan tumis hingga harum dan wangi kemudian masukkan bumbu aromatik tumis kembali hingga layu || Panaskan air dalam panci hingga mendidih kemudian masukkan ayam yang sudah di cuci bersih, selanjutnya masukkan bumbu yang sudah di tumis tadi masak hingga ayam matang jika sudah matang angkat ayam, potong dan masukkan ke dalam mangkuk saji || Beri kaldu bubuk, gula pasir, susu bubuk juga santan. Koreksi rasa jika sudah pas matikan api || Sajikan hangat bersama sambal, potongan tomat juga emping",4,45 menit,,Deffi Mom's Ahnaf,Jakarta Selatan,https://cookpad.com/id/resep/25376275
244,Soto Ayam Santan,soto ayam,Cuaca saat hujan saat paling pas adalah makan berkuah yang segar &amp; harus bergizi pastinya. Semangkuk soto ayam cukup untuk menghangatkan badan kala hujan turun. Semangkuk soto terdapat sayur dan proteiy cukup memenuhi kebutuhan gizi keluarga dirumah. #LaukPauk...,"1/2 ekor ayam | 1 buah jeruk nipis | Bumbu halus: | 5 siung bawang putih | 8 siung bawang merah | 2 butir kemiri | 1 sdt jintan | 1 sdt adas | 1 sdt merica | 1 sdt ketumbar | 1 ruas kunyit | 1 ruas jahe | 1 ruas lengkuas | 1 batang serai | 3 lembar daun salam | 5 lembar daun jeruk | 1,5 sdt garam | 1 sdt kaldu bubuk/penyedap | 1 sdt gula | 1 lt air | 200 ml santan | secukupnya Minyak goreng | Pelengkap: | 150 g Kol | 100 g Tauge | 2 sdm Bawang putih goreng | 1 buah Tomat | 1 bungkus Sohun rebus | 2 batang daun seledri | Telur rebus (optional) | 2 buah jeruk nipis / limau | Sambal",32,"Cuci bersih ayam lalu beri perasan jeruk nipis diamkan 10 menit bilas.rebus di air mendidih selama 10 menit kemudian buang air rebusan air tadi. Rebus air baru kembali hingga mendidih masukkan ayam,daun jeruk,daun salam,serai. || Sambil menunggu rebusan ayam mendidih, panaskan minyak goreng lalu tumis bumbu halus masak hingga bumbu harum matang. || Kemudian masukkan bumbu tumis tadi kedalam rebusan ayam tadi masak hingga ayam empuk & matang. tambahkan santan aduk rata kemudian garam, kaldu bubuk, penyedap,gula aduk rata masak kembali hingga mendidih tes rasa, matikan kompor || Cuci bersih sayuran, kemudian iris tipis kol,daun seledri, tomat, jeruk nipis. Rendam soun rendam dalam air panas hingga lembut sisihkan. Goreng ayam tadi jangan terlalu kering lalu suwir-suwir sisihkan || Siapkan mangkuk lalu masukkan sayuran kol,toge,soun,ayam daun bawang,daun seledri dan tomat kemudian tambahkan kuah soto beri taburan bawang goreng dan perasaan jeruk nipis. Tambahkan telur rebus jika suka & nikmati selagi panas/hangat",5,1 jam,,Via Vie (Dapur Bunda),Bekasi,https://cookpad.com/id/resep/24844677
