Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Jumlah_Varian_Kemasan
DKI2280303243A1,SCITROPIN A,SOMATROPIN,LARUTAN INJEKSI,"DUS, 1 CARTRIDGE @ 1,5 ML",ETANA BIOTECHNOLOGIES INDONESIA - Indonesia,ETANA BIOTECHNOLOGIES INDONESIA,Indonesia,2022-11-29,2027-11-29,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2280303243B1,SCITROPIN A,SOMATROPIN,LARUTAN INJEKSI,"DUS, 1 CARTRIDGE @ 1,5 ML",ETANA BIOTECHNOLOGIES INDONESIA - Indonesia,ETANA BIOTECHNOLOGIES INDONESIA,Indonesia,2024-06-23,2027-11-29,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,3.4,False,1
DKI2281501044A1,BOTOX,BOTULINUM TOXIN TYPE-A,SERBUK INJEKSI; 100 U,"DUS, 1 VIAL @ 100 UNIT",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2023-08-16,2028-04-12,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.7,False,1
DKI2281501044B1,BOTOX,BOTULINUM TOXIN TYPE-A,SERBUK INJEKSI; 50 U,"DUS, 1 VIAL @ 50 UNIT",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2023-08-16,2027-08-16,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.0,False,1
DKI2281602044A1,SANDOSTATIN LAR,OCTREOTIDE ACETATE,SERBUK INJEKSI + PELARUT,"DUS, 1 VIAL @ 900 MG + 1 PREFILLED SYRINGE @ 2 ML PELARUT + 1 VIAL ADAPTER + 1 SAFETY INJECTION NEEDLE",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2024-08-01,2027-05-09,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,2.8,False,1
DKI2281602044B1,SANDOSTATIN LAR,OCTREOTIDE ACETATE,SERBUK INJEKSI + PELARUT,"DUS, 1 VIAL @ 625 MG + 1 PRE FILLED SYRINGE @ 2 ML PELARUT + 1 VIAL ADAPTER + 1 SAFETY INJECTION NEEDLE",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2025-12-31,2030-12-31,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2284401035A1,CIPOL - N,CICLOSPORIN,LARUTAN ORAL; 100 MG,"DUS, 1 BOTOL @ 50 ML",CKD OTTO Pharmaceuticals - Indonesia,CKD OTTO Pharmaceuticals,Indonesia,2022-01-11,2027-01-11,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2284401143A1,NESBELL,,INJEKSI,"DUS, 1 PREFILLED SYRINGE @ 0.5 ML + 1 STERILE NEEDLE",CKD OTTO Pharmaceuticals - Indonesia,CKD OTTO Pharmaceuticals,Indonesia,2023-06-28,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,4.5,False,1
DKI2284401143B1,NESBELL,,INJEKSI,"DUS, 1 PREFILLED SYRINGE @ 0.5 ML + 1 STERILE NEEDLE",CKD OTTO Pharmaceuticals - Indonesia,CKD OTTO Pharmaceuticals,Indonesia,2023-06-28,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,4.5,False,1
DKI2284401143C1,NESBELL,,INJEKSI,"DUS, 1 PREFILLED SYRINGE @ 0.5 ML + 1 STERILE NEEDLE",CKD OTTO Pharmaceuticals - Indonesia,CKD OTTO Pharmaceuticals,Indonesia,2023-06-28,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,4.5,False,1
DKI2284401143D1,NESBELL,,INJEKSI,"DUS, 1 PREFILLED SYRINGE @ 0.5 ML + 1 STERILE NEEDLE",CKD OTTO Pharmaceuticals - Indonesia,CKD OTTO Pharmaceuticals,Indonesia,2023-06-28,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,4.5,False,1
DKI2284401143E1,NESBELL,,INJEKSI,"DUS, 1 PREFILLED SYRINGE @ 0.5 ML + 1 STERILE NEEDLE",CKD OTTO Pharmaceuticals - Indonesia,CKD OTTO Pharmaceuticals,Indonesia,2023-06-28,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,4.5,False,1
